Player ID,Player Name,Position,Mat,Inns,NNO,Runs,HS,Not out,Avg,BF,SR,100s,50s,0s,4s,6s,Iyengar_Score,Innings_Confidence,Batting_Position_Score,Lambda,Final_Position_Batting_Score
7915,Suryakumar Yadav,3,16,16,2,563,111,1,40.21,336,167.55,1,5,2,60,28,0.6422040216856746,0.9999766908988571,0.6421890524871787,0.8421052631578947,0.5899771791969453
7915,Suryakumar Yadav,4,42,42,8,1594,117,0,46.88,936,170.29,3,13,1,139,91,0.7678864339085268,0.9999999999993086,0.7678864339079959,0.9333333333333333,0.7374615953129541
7915,Suryakumar Yadav,5,6,6,1,140,65,0,28.0,90,155.55,0,1,0,9,9,0.46200729036270216,0.9816843611112658,0.45354533166845634,0.6666666666666666,0.4062015061064265
14504,Tilak Varma,3,8,8,2,120,55,1,20.0,87,137.93,0,1,2,9,8,0.43462923685339216,0.9951720500061686,0.4325308686320069,0.7272727272727273,0.39952622854574144
14504,Tilak Varma,4,4,4,1,166,51,0,55.33,118,140.67,0,1,0,14,7,0.4803820902181821,0.9305165487771985,0.44700348468419965,0.5714285714285714,0.38893650052627127
14504,Tilak Varma,5,2,2,1,43,31,1,43.0,34,126.47,0,0,0,6,0,0.3214887509630006,0.7364028618842733,0.23674523627275407,0.4,0.2816064074985217
14504,Tilak Varma,6,1,1,1,7,7,1,,2,350.0,0,0,0,0,1,,0.486582880967408,,0.25,
1413,Virat Kohli,1,5,5,0,119,39,0,23.8,86,138.37,0,0,0,18,2,0.3881146099001385,0.9643260066527476,0.3742690118885895,0.625,0.350735828048756
1413,Virat Kohli,2,12,12,2,432,122,1,43.2,296,145.94,1,3,2,38,16,0.5771829387669347,0.9996645373720975,0.5769893154615154,0.8,0.5238942233656858
1413,Virat Kohli,3,80,80,23,3076,94,1,53.96,2274,135.26,0,32,4,276,79,0.8205585964501148,1.0,0.8205585964501148,0.963855421686747,0.8021593889271841
1413,Virat Kohli,4,17,17,5,509,77,1,42.41,360,141.38,0,3,0,32,25,0.5849382350635077,0.9999880327084439,0.5849312349371064,0.85,0.5439186279438954
1413,Virat Kohli,5,1,1,1,26,26,1,,21,123.8,0,0,0,3,1,,0.486582880967408,,0.25,
1413,Virat Kohli,6,2,2,0,26,26,0,13.0,19,136.84,0,0,1,2,1,0.28147299028684086,0.7364028618842733,0.20727751559035387,0.4,0.2698193192255617
10945,Washington Sundar,5,1,1,0,10,10,0,10.0,9,111.11,0,0,0,1,0,0.20964686455646223,0.486582880967408,0.10201057534166737,0.25,0.25913803507219196
10945,Washington Sundar,6,1,1,0,50,50,0,50.0,28,178.57,0,1,0,5,3,0.4351152777018976,0.486582880967408,0.21171964537712312,0.25,0.2865653025810559
10945,Washington Sundar,7,6,6,1,34,27,0,6.8,46,73.91,0,0,3,2,1,0.22778993862174945,0.9816843611112658,0.22361782036346656,0.6666666666666666,0.25291649856976667
10945,Washington Sundar,8,8,8,5,58,25,0,19.33,38,152.63,0,0,1,3,4,0.3523437434301303,0.9951720500061686,0.35064264545621027,0.7272727272727273,0.3399711571451621
10945,Washington Sundar,9,2,2,0,8,4,0,4.0,3,266.66,0,0,0,2,0,0.2912531189200542,0.7364028618842733,0.21447963030544848,0.4,0.2727001651115995
13940,Yashasvi Jaiswal,1,22,22,2,723,100,0,36.15,440,164.31,1,5,2,82,38,0.6582332955308541,0.9999995730789206,0.6582330145171851,0.88,0.6166267153730068
7909,Mohammed Shami,9,4,4,3,6,6,0,6.0,8,75.0,0,0,0,0,1,0.16620669720091513,0.9305165487771985,0.15465808226305242,0.5714285714285714,0.2218819848570443
7910,Mohammed Shami,10,1,1,0,0,0,0,0.0,2,0.0,0,0,1,0,0,0.0,0.486582880967408,0.0,0.25,0.23363539123677513
8683,Shardul Thakur,7,1,1,0,0,0,0,0.0,1,0.0,0,0,1,0,0,0.0,0.486582880967408,0.0,0.25,0.23363539123677513
8684,Shardul Thakur,8,5,5,3,69,22,1,34.5,37,186.48,0,0,1,5,4,0.4051655171822274,0.9643260066527476,0.3907116452177325,0.625,0.3610124738794704
7910,Yuzvendra Chahal,9,2,2,1,1,1,0,1.0,6,16.66,0,0,0,0,0,0.04553743689506895,0.7364028618842733,0.03353389885240327,0.4,0.20032187253038142
7911,Yuzvendra Chahal,10,3,3,2,2,1,1,2.0,5,40.0,0,0,0,0,0,0.08088389838118899,0.8646647167633873,0.06993745308448938,0.5,0.19072565403342812
7912,Yuzvendra Chahal,11,1,1,1,3,3,1,0.0,2,150.0,0,0,0,0,0,0.12244369516474868,0.486582880967408,0.05957900594955849,0.25,0.24853014272416474
